颜色名称	编码	红色	绿色	蓝色	颜色预览
深灰色	+7	169	169	169	 
白色	0	255	255	255	 
灰白色	0.5	239	239	239	 
红色	1	255	0	0	 
浅红色	-1	255	135	135	 
杂色	10	128	128	0	 
紫色	2	128	0	128	 
浅紫色	-2	255	152	255	 
紫红色	2.1	255	250	255	 
浅紫红色	-2.1	255	150	255	 
紫褐色	2.3	153	102	132	 
紫灰色	2.7	172	160	172	 
褐色	3	152	87	48	 
浅褐色	-3	200	124	79	 
褐灰色	3.7	169	150	120	 
褐黑色	3.8	50	50	35	 
褐棕色	3.9	166	80	40	 
黄色	4	255	255	12	 
黄褐色	4.3	155	126	47	 
黄绿色	4.5	150	255	0	 
绿色	5	0	255	0	 
绿灰色	5.7	97	158	97	 
蓝色	6	0	0	255	 
蓝灰色	6.7	176	176	196	 
灰白色	7	128	128	128	 
浅灰色	-7	211	211	211	 
棕红色	7.3	67	87	76	 
灰褐色	-7.3	130	91	70	 
灰黄色	7.4	150	150	100	 
浅灰黄色	-7.4	200	200	170	 
灰绿色	7.5	87	159	149	 
灰蓝色	7.6	116	116	140	 
灰黑色	7.8	55	55	55	 
浅棕色	-9	227	145	145	 
浅棕黄色	-9.4	255	210	106	 
棕灰色	9.7	115	92	92	 
